chinese,english,source,refs_list
癞蛤蟆想吃天鹅肉,to have unrealistic and unattainable desires; to want what one cannot have,JSON,"['to have unrealistic and unattainable desires', 'to want what one cannot have']"
千难万险,numerous difficulties and dangers,JSON,['numerous difficulties and dangers']
侠肝义胆,bravery and righteousness,JSON,['bravery and righteousness']
软硬皆施,"using both gentle and tough tactics, employing all means necessary",JSON,"['using both gentle and tough tactics, employing all means necessary']"
飞来横祸,unexpected disaster or misfortune that appears out of nowhere,JSON,['unexpected disaster or misfortune that appears out of nowhere']
急起直追,quickly chasing after someone or something,JSON,['quickly chasing after someone or something']
一望无际,"endless and boundless, stretching as far as the eye can see",JSON,"['endless and boundless, stretching as far as the eye can see']"
投鼠忌器,"being cautious and hesitant, afraid of hitting a valuable object while trying to kill a rat",JSON,"['being cautious and hesitant, afraid of hitting a valuable object while trying to kill a rat']"
水月镜花,an illusion or something that appears beautiful and ethereal but is actually insubstantial and unreal,JSON,['an illusion or something that appears beautiful and ethereal but is actually insubstantial and unreal']
情景交融,blending of emotions and surroundings; a harmonious integration of emotions and environment,JSON,"['blending of emotions and surroundings', 'a harmonious integration of emotions and environment']"
白面书生,a white-faced scholar; a well-educated young man,JSON,"['a white-faced scholar', 'a well-educated young man']"
词不达意,the inability to express oneself clearly and accurately through words,JSON,['the inability to express oneself clearly and accurately through words']
泣涕如雨,crying profusely like rain,JSON,['crying profusely like rain']
播弄是非,to create trouble and spread gossip,JSON,['to create trouble and spread gossip']
无往不胜,"unbeatable, always successful in everything one does",JSON,"['unbeatable, always successful in everything one does']"
攻城略地,"conquering a city and seizing the land, achieving great success in military strategy",JSON,"['conquering a city and seizing the land, achieving great success in military strategy']"
卖官卖爵,selling official positions and titles,JSON,['selling official positions and titles']
势在必行,inevitable and must be done; refers to a situation or task that must be carried out without any other alternatives,JSON,"['inevitable and must be done', 'refers to a situation or task that must be carried out without any other alternatives']"
从谏如流,accepting and implementing advice without any opposition or resistance,JSON,['accepting and implementing advice without any opposition or resistance']
投桃报李,Returning a favor with a favor; repaying kindness with kindness,JSON,"['returning a favor with a favor', 'repaying kindness with kindness']"
惨绝人寰,extremely tragic or appalling; a scene of unimaginable suffering or devastation,JSON,"['extremely tragic or appalling', 'a scene of unimaginable suffering or devastation']"
鬼头鬼脑,be sly and crafty,JSON,['be sly and crafty']
堂堂一表,having an impressive and dignified appearance; looking impressive and imposing,JSON,"['having an impressive and dignified appearance', 'looking impressive and imposing']"
拂袖而去,to leave angrily or in a huff,JSON,['to leave angrily or in a huff']
高傲自大,arrogant and self-important,JSON,['arrogant and self-important']
粗制滥造,making something hurriedly and without attention to quality; shoddy workmanship,JSON,"['making something hurriedly and without attention to quality', 'shoddy workmanship']"
仪表堂堂,having a dignified and impressive appearance or demeanor,JSON,['having a dignified and impressive appearance or demeanor']
道听途说,"hearsay, information obtained through unofficial channels",JSON,"['hearsay, information obtained through unofficial channels']"
打家劫舍,rob a house and seize its possessions,JSON,['rob a house and seize its possessions']
悠闲自在,leisurely and carefree,JSON,['leisurely and carefree']
急功近利,seeking immediate benefits and disregarding long-term gains,JSON,['seeking immediate benefits and disregarding long-term gains']
一草一木,every plant and tree; every little thing; every detail,JSON,"['every plant and tree', 'every little thing', 'every detail']"
达官显宦,high-ranking officials and powerful people,JSON,['high-ranking officials and powerful people']
拔刀相向,to draw one's sword and face each other in a confrontation,JSON,"[""to draw one's sword and face each other in a confrontation""]"
流年似水,time flies like flowing water,JSON,['time flies like flowing water']
夸父追日,be ambitious or have unrealistic goals,JSON,['be ambitious or have unrealistic goals']
巫山云雨,secret love affair; sexual encounter,JSON,"['secret love affair', 'sexual encounter']"
蒙头转向,to be completely confused and have no idea which way to go,JSON,['to be completely confused and have no idea which way to go']
假以辞色,using excuses and pretenses to cover up one's true intentions or feelings,JSON,"[""using excuses and pretenses to cover up one's true intentions or feelings""]"
汗如雨下,sweating profusely,JSON,['sweating profusely']
关门闭户,shutting the doors and windows; also refers to isolating oneself from the outside world and refusing to engage with others,JSON,"['shutting the doors and windows', 'also refers to isolating oneself from the outside world and refusing to engage with others']"
极目远眺,"gazing into the distance, looking far ahead",JSON,"['gazing into the distance, looking far ahead']"
提心吊胆,living in constant fear and anxiety,JSON,['living in constant fear and anxiety']
昏天暗地,in complete darkness or confusion,JSON,['in complete darkness or confusion']
严丝合缝,perfectly seamless and coordinated,JSON,['perfectly seamless and coordinated']
将功补过,"""Make up for past mistakes by doing good deeds"" or ""make amends for one's past wrongdoings""",JSON,"['make up for past mistakes by doing good deeds', ""make amends for one's past wrongdoings""]"
价廉物美,good quality and low price,JSON,['good quality and low price']
委曲求全,"to compromise and seek a solution that is satisfactory to all parties involved, even if it means sacrificing one's own interests or principles",JSON,"[""to compromise and seek a solution that is satisfactory to all parties involved, even if it means sacrificing one's own interests or principles""]"
谬种流传,carrying on a falsehood or absurd belief,JSON,['carrying on a falsehood or absurd belief']
凿壁偷光,To seek knowledge from unconventional sources,JSON,['to seek knowledge from unconventional sources']
以血还血,seek revenge by shedding blood,JSON,['seek revenge by shedding blood']
缺衣少食,lack of proper clothing and insufficient food,JSON,['lack of proper clothing and insufficient food']
